mkb_codes;name;frequency_visits;controlled_indicators;duration_observation;note
E11;Инсулиннезависимый сахарный диабет;В соответствии с клиническими рекомендациями;"Вес (ИМТ), окружность талии, статус курения АД
ХС-ЛПНП, гликированный гемоглобин,";Пожизненно;Прием (осмотр, консультация) врача-эндокринолога (по медицинским показаниям)
I69.0, I69.1, I69.2, I69.3, I69.4;Последствия субарахноидального кровоизлияния, внтричерепного кровоизлияния, другого нетравматического внутричерепного кровоизлияния, последствия инфаркта мозга и инсульта, не уточненные как кровоизлияния или инфаркт мозга;В соответствии с клиническими рекомендациями, при этом в первый год диспансерного наблюдения не реже 1 раз в 3 месяца, затем не реже 1 раза в 6 месяцев;"Вес (ИМТ), окружность талии, статус курения
глюкоза плазмы крови (натощак)
АД, ЧСС
ЭКГ
при терапии статинами - трансаминазы и КФК (через 4 недели от начала терапии или при мышечных симптомах)
ХС-ЛПНП";Пожизненно;Прием (осмотр, консультация) врача-невролога
I67.8;Другие уточненные поражения сосудов мозга;В соответствии с клиническими рекомендациями, при этом в первый год диспансерного наблюдения не реже 1 раз в 3 месяца, затем не реже 1 раза в 6 месяцев;"Вес (ИМТ), окружность талии, статус курения
глюкоза плазмы крови (натощак)
АД, ЧСС
ЭКГ
при терапии статинами - трансаминазы и КФК (через 4 недели от начала терапии или при мышечных симптомах)
ХС-ЛПНП";Пожизненно;Прием (осмотр, консультация) врача-невролога
K20;Эзофагит;В соответствии с клиническими рекомендациями, но не реже 1 раза в 6 месяцев;Отсутствие рецидивов эрозивного процесса по данным эзофагогастродуоденоскопии <10>;В течение 3 лет с момента последнего обострения;Прием (осмотр, консультация) врача-гастроэнтеролога по медицинским показаниям
K21.0;Гастроэзофагеальный рефлюкс с эзофагитом;В соответствии с клиническими рекомендациями, но не реже 1 раза в 6 месяцев или по рекомендации врача-гастроэнтеролога;"При гастроэзофагеальном рефлюксе с эзофагитом (без цилиндроклеточной метаплазии - без пищевода Баррета) - отсутствие рецидивов эрозивного процесса по данным ЭГДС
при гастроэзофагеальном рефлюксе с эзофагитом и цилиндроклеточной метаплазией - пищевод Барретта - отсутствие прогрессирования эндоскопических и морфологических изменений по данным ЭГДС с биопсией";В течение 5 лет с момента последнего обострения;"Прием (осмотр, консультация) врача-гастроэнтеролога по медицинским показаниям
При гастроэзофагеальном рефлюксе с эзофагитом и цилиндроклеточной метаплазией - пищевод Барретта - прием (осмотр, консультация) врача-гастроэнтеролога 1 раз в год.
Прием (осмотр, консультация) врача-онколога по медицинским показаниям, прием (осмотр, консультация) врача-хирурга по медицинским показаниям"
K25;Язва желудка;В соответствии с клиническими рекомендациями, но не реже 1 раза в 6 месяцев;Отсутствие или уменьшение частоты рецидивов;В течение всей жизни с момента установления диагноза (или до выявления малигнизации);"Прием (осмотр, консультация) врача-гастроэнтеролога 1 раз в год.
Прием (осмотр, консультация) врача-онколога по медицинским показаниям"
K26;Язва двенадцатиперстной кишки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие или уменьшение частоты рецидивов;В течение 5 лет с момента последнего обострения;Прием (осмотр, консультация) врача-гастроэнтеролога по медицинским показаниям
K31.7;Полип желудка;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие прогрессирования и морфологических изменений по данным ЭГДС с биопсией;В течение всей жизни с момента установления диагноза (или до выявления малигнизации);"Прием (осмотр, консультация) врача-гастроэнтеролога 1 раз в год.
Прием (осмотр, консультация) врача-онколога по медицинским показаниям"
K86;Хронический панкреатит с внешнесекреторной недостаточностью;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;Отсутствие прогрессирования белково-энергетической недостаточности;Пожизненно;"Прием (осмотр, консультация) врача-гастроэнтеролога 1 раз в год.
Прием (осмотр, консультация) врача-хирурга по медицинским показаниям"
J41.0, J41.1, J41.8;Рецидивирующий и хронический бронхиты;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие или уменьшение частоты обострений
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J44.0;Хроническая обструктивная легочная болезнь с острой респираторной инфекцией нижних дыхательных путей;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;"Отсутствие или уменьшение частоты обострений
функция внешнего дыхания <11> (согласно клиническим рекомендациям)
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J44.8;Другая уточненная хроническая обструктивная легочная болезнь;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;"Отсутствие или уменьшение частоты обострений
функция внешнего дыхания <11> (согласно клиническим рекомендациям)
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J44.9;Хроническая обструктивная легочная болезнь неуточненная;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;"Отсутствие или уменьшение частоты обострений
функция внешнего дыхания <11> (согласно клиническим рекомендациям)
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J47.0;Бронхоэктатическая болезнь;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;"Отсутствие или уменьшение частоты обострений ФВД (согласно клиническим рекомендациям)
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J45.0;Астма с преобладанием аллергического компонента;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;Достижение полного или частичного контроля бронхиальной астмы ФВД (согласно клиническим рекомендациям);Пожизненно;Прием (осмотр, консультация) врача-пульмонолога, врача-аллерголога (по медицинским показаниям)
J45.1;Неаллергическая астма;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;Достижение полного или частичного контроля бронхиальной астмы ФВД (согласно клиническим рекомендациям);Пожизненно;Прием (осмотр, консультация) врача-пульмонолога, врача-аллерголога (по медицинским показаниям)
J45.8;Смешанная астма;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;Достижение полного или частичного контроля бронхиальной астмы ФВД (согласно клиническим рекомендациям);Пожизненно;Прием (осмотр, консультация) врача-пульмонолога, врача-аллерголога (по медицинским показаниям)
J45.9;Астма неуточненная;В соответствии с клиническими рекомендациями, но не реже 1 - 3 раз в год;Достижение полного или частичного контроля бронхиальной астмы ФВД (согласно клиническим рекомендациям);Пожизненно;Прием (осмотр, консультация) врача-пульмонолога, врача-аллерголога (по медицинским показаниям)
J12, J13, J14;Состояние после перенесенной пневмонии;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Сатурация кислорода в крови (согласно клиническим рекомендациям);Срок диспансерного наблюдения определяется лечащим врачом индивидуально с учетом рекомендаций врача-пульмонолога;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
J84.1;Интерстициальные заболевания легких;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Отсутствие или уменьшение частоты обострений ФВД (согласно клиническим рекомендациям)
сатурация кислорода в крови (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача-пульмонолога (по медицинским показаниям)
N 18.1;Состояние после перенесенной острой почечной недостаточности, пациенты в стабильном состоянии, с хронической почечной недостаточностью 1 стадии, а также пациенты, страдающие хронической болезнью почек (независимо от ее причины и стадии), в стабильном состоянии с хронической почечной недостаточностью 1 стадии;В соответствии с клиническими рекомендациями, но не реже 4 раз в год;"АД (согласно клиническим рекомендациям)
ХС-ЛПНП (согласно клиническим рекомендациям)
скорость клубочковой фильтрации (согласно клиническим рекомендациям)";"После перенесенной острой почечной недостаточности - срок диспансерного наблюдения определяется лечащим врачом индивидуально с учетом рекомендаций врача-нефролога
пациенты, страдающие хронической болезнью почек - пожизненно";Прием (осмотр, консультация) врача-нефролога 1 раз в год
N 18.9;Хроническая болезнь почки неуточненная;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"АД (согласно клиническим рекомендациям)
скорость клубочковой фильтрации (согласно клиническим рекомендациям)";Срок диспансерного наблюдения определяется лечащим врачом индивидуально с учетом рекомендаций врача-нефролога;Прием (осмотр, консультация) врача-нефролога 1 раз в год
M81.5;Идиопатический остеопороз;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Биохимический анализ крови с определением уровня общего кальция, креатинина и щелочной фосфатазы (согласно клиническим рекомендациям)
денситометрия шейки бедра и поясничного отдела позвоночника (согласно клиническим рекомендациям)";Пожизненно;Прием (осмотр, консультация) врача - акушера-гинеколога (для женщин с остеопорозом, развившимся в течение 3 лет после наступления менопаузы), врача-эндокринолога, врача-ревматолога по медицинским показаниям
K29.4;Хронический атрофический гастрит;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о злокачественных новообразованиях <12> по результатам ЭГДС с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K29.5;Хронический гастрит неуточненный;;Отсутствие данных о злокачественных новообразованиях <12> по результатам ЭГДС с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
D12.6;Семейный полипоз толстой кишки, синдром Гартнера, синдром Пейца-Егерса, синдром Турко;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам колоноскопии с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K31.7;Полипы желудка и двенадцатиперстной кишки;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам ЭГДС с множественной биопсией.;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
D12.8, K62.1;Полип прямой кишки;"В соответствии с клиническими рекомендациями, при наличии: гиперпластического полипа - не реже 2 раз в год
тубулярного полипа - не реже 4 раз в год";Отсутствие данных о ЗНО по результатам колоноскопии с множественной биопсией.;В течение 3х лет при отсутствии рецидива;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K50;Болезнь Крона (регионарный энтерит);В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам колоноскопии с множественной биопсией.;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K51;Язвенный колит;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам колоноскопии с множественной биопсией.;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K22.0;Ахалазия кардиальной части пищевода;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам ЭГДС с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K22.2;Непроходимость пищевода;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам ЭГДС с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K22.7;Пищевод Барретта;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;Отсутствие данных о ЗНО по результатам ЭГДС с множественной биопсией;Пожизненно;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (дисплазия или аденокарцинома по результатам биопсии)
K70.3;Алкогольный цирроз печени;В соответствии с клиническими рекомендациями, но не реже 1 раза в 3 - 4 месяца;"Отсутствие данных о ЗНО по результатам ультразвукового исследования <13> или компьютерной томографии <14>, или магнитно-резонансной томографии <15>
повышение уровня альфа-фетопротеина <16> крови";Пожизненно или до выявления/лечения гепатоцеллюлярной карциномы;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения уровня АФП сыворотки крови отличающиеся от референсных значений, появление и (или) рост дополнительных объемных образований в паренхиме печени)
K74.3, K74.4, K74.5, K74.6;Первичный билиарный цирроз, вторичный билиарный цирроз, билиарный цирроз неуточненный, другое и неуточненный цирроз печени;В соответствии с клиническими рекомендациями, но не реже 1 раза в 3 - 4 месяца;"Отсутствие данных о ЗНО по результатам ультразвукового исследования <13> или компьютерной томографии <14>, или магнитно-резонансной томографии <15>
повышение уровня альфа-фетопротеина <16> крови";;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения уровня АФП сыворотки крови отличающиеся от референсных значений, появление и (или) рост дополнительных объемных образований в паренхиме печени)
D13.4;Гепатоцеллюлярная аденома;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Отсутствие данных о ЗНО по результатам УЗИ или КТ, или МРТ
отсутствие данных о ЗНО по результатам биопсии
повышение уровня АФП крови";Пожизненно или до удаления гепатоцеллюлярной аденомы;Прием (осмотр, консультация) врача-онколога по медицинским показаниям (изменения уровня АФП сыворотки крови отличающиеся от референсных значений, или увеличение размеров и\или васкуляризации аденомы, злокачественный рост по данным биопсии)
